names,scores,logfoldchanges,pvals,pvals_adj,group,analysis_type
Col3a1,33.694294,7.09818,7.007381027561515e-249,3.737269881366142e-247,3,combined
Cd34,32.519974,6.155573,5.566772131998821e-232,2.8126848666941413e-230,3,combined
Trim25,32.454777,5.300064,4.637804989525923e-231,2.2261463949724434e-229,3,combined
Gnas,30.337133,1.8339094,3.714084993761839e-202,1.5502267800049414e-200,3,combined
Ubc,29.559011,0.8784566,5.0299546264864154e-192,2.011981850594566e-190,3,combined
Ptprb,28.801037,4.9841995,2.0817766480193964e-182,7.68655993114854e-181,3,combined
Axin2,27.298004,2.267071,4.47954287722605e-164,1.59272635634704e-162,3,combined
Pdgfrb,27.016098,4.7563567,9.56232937004892e-161,3.2785129268739154e-159,3,combined
Cxcl12,26.537394,5.861602,3.590605593296792e-155,1.1489937898549734e-153,3,combined
Cobll1,26.115805,4.2650537,2.4117457532884963e-150,7.46863201018373e-149,3,combined
Flna,25.945784,1.5519413,2.02888842903305e-148,5.902220884459781e-147,3,combined
Glul,24.894327,1.7208751,8.570633227651077e-137,2.2855021940402873e-135,3,combined
Ccdc141,24.475609,4.457571,2.6869313337223055e-132,6.788037053614245e-131,3,combined
Itgb1,24.28647,2.4723308,2.724631782640858e-130,6.706785926500573e-129,3,combined
Ctnnb1,24.09291,1.3671997,2.966300888918122e-128,7.119122133403493e-127,3,combined
Pdgfra,23.702114,3.0578265,3.4291729220100644e-124,7.838109536023005e-123,3,combined
Slc38a3,23.307133,3.1234248,3.753254476045549e-120,8.379358830241226e-119,3,combined
Arhgef12,21.45226,1.4252043,4.350121100200954e-102,9.078513600419381e-101,3,combined
Bmp7,21.363771,3.4400175,2.90394535850552e-101,5.931462859926168e-100,3,combined
Nes,21.076796,2.6155672,1.2988736408723742e-98,2.5977472817447483e-97,3,combined
Shank3,20.589289,2.2482376,3.423555148800617e-94,6.320409505478062e-93,3,combined
Sema7a,20.484772,1.9787741,2.943649993503157e-93,5.331894327854775e-92,3,combined
Itpr3,20.386353,4.832491,2.2102480948182972e-92,3.9293299463436393e-91,3,combined
Rhob,19.595362,1.8669573,1.6937803651982748e-85,2.9036234831970426e-84,3,combined
Rgs3,19.426178,2.0190268,4.636280865449338e-84,7.808473036546254e-83,3,combined
Bmpr2,19.182722,1.43495,5.1606206286308574e-82,8.54171690256142e-81,3,combined
Bmp5,19.116072,6.625129,1.855697237389591e-81,3.0194395727017077e-80,3,combined
Syne2,18.849056,1.3479986,2.9913269475677195e-79,4.631732047846791e-78,3,combined
Kit,18.551947,1.8828887,7.86514202078992e-77,1.1984978317394163e-75,3,combined
Pdgfb,18.398024,4.2662983,1.3624616104658318e-75,2.043692415698748e-74,3,combined
Sema6d,18.35058,1.6847122,3.266023995873094e-75,4.8236662092894935e-74,3,combined
Ephb4,17.91822,3.663221,8.500491669306042e-72,1.2000694121373236e-70,3,combined
Slc38a2,17.862051,2.6231058,2.329182803247827e-71,3.240602161040455e-70,3,combined
Tcf7l2,17.680769,1.8033403,5.898625332183477e-70,7.975606082952306e-69,3,combined
Tanc1,16.232964,2.0601697,2.9487629686495743e-59,3.62924673064563e-58,3,combined
Slc6a13,16.024088,6.0998173,8.675464300514413e-58,1.0410557160617296e-56,3,combined
Igfbp2,15.850898,2.2959683,1.385866885473377e-56,1.64250890130178e-55,3,combined
Tnfrsf19,15.732916,1.5053315,8.997086953067109e-56,1.053317496944442e-54,3,combined
Prex2,15.175495,2.3412354,5.138814215546992e-52,5.803837231676603e-51,3,combined
Apoe,15.120336,1.1813002,1.1893456869022244e-51,1.3276416970071343e-50,3,combined
Wnt4,13.994856,4.9003296,1.6756968075671017e-44,1.7485531905048016e-43,3,combined
Efna1,13.606875,2.126015,3.644968726644612e-42,3.644968726644612e-41,3,combined
Itga4,13.413215,3.7339768,5.059728361767713e-41,5.007566213708252e-40,3,combined
Ccnd2,13.233258,0.98174673,5.63885250916056e-40,5.359701394845681e-39,3,combined
Gsn,13.021236,2.444652,9.265798667289524e-39,8.39166671754523e-38,3,combined
Notum,12.986965,4.361027,1.450664785408498e-38,1.2776497192588607e-37,3,combined
Csf1,12.974461,2.7871923,1.7079414035572422e-38,1.4905670431045024e-37,3,combined
Efhd2,12.38262,1.4008538,3.2457315901070006e-35,2.7820556486631434e-34,3,combined
Mest,12.3192625,1.4562694,7.134381857190388e-35,6.06106777248033e-34,3,combined
Wnt5a,11.784184,3.1873255,4.709587017373096e-32,3.864276527075361e-31,3,combined
Mfng,11.596664,2.355066,4.284539149977454e-31,3.456434944519627e-30,3,combined
Srgap1,11.552657,0.76835346,7.157315468182584e-31,5.725852374546067e-30,3,combined
Ripk1,11.271816,2.1915781,1.8080191569142238e-29,1.3997567666432698e-28,3,combined
Huwe1,11.117021,0.46749333,1.0367639884299686e-28,7.836956133013935e-28,3,combined
Rgs4,11.067467,1.8057817,1.8042870317426826e-28,1.353215273807012e-27,3,combined
Epha2,10.802951,4.7194695,3.333142726470716e-27,2.4426084102380822e-26,3,combined
Htra1,10.792238,0.83989197,3.7455581656601576e-27,2.724042302298296e-26,3,combined
Ddx3x,10.750179,0.93050486,5.914675539979596e-27,4.269239487504069e-26,3,combined
Jam2,10.674471,1.6891395,1.3401885775863713e-26,9.53022988505864e-26,3,combined
Ablim1,10.619856,1.7294571,2.4093344000193467e-26,1.7007066353077742e-25,3,combined
Nipbl,10.493822,0.8208637,9.222045833347635e-26,6.415336231894008e-25,3,combined
Tmem119,10.482333,2.3435862,1.0414237808910346e-25,7.192567119822972e-25,3,combined
Pten,10.476785,1.6439166,1.104350382731005e-25,7.572688338726891e-25,3,combined
