names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Nfix,7.977938,1.0284064,1.4879762059909811e-15,2.100672290810797e-14,6,p30_R3_mut
Slc38a3,7.8002563,1.6223181,6.17817009348266e-15,8.472918985347647e-14,6,p30_R3_mut
Calm1,7.695779,0.6064101,1.4063492891132818e-14,1.8751323854843757e-13,6,p30_R3_mut
Epb41l1,7.1937194,0.6349781,6.304966449278639e-13,7.2056759420327306e-12,6,p30_R3_mut
Hopx,7.0706615,2.8085897,1.541965731163176e-12,1.7014794274904012e-11,6,p30_R3_mut
Gng7,6.9906135,1.2098378,2.7368714440607546e-12,2.9521309958408136e-11,6,p30_R3_mut
Fbxo2,6.9611077,2.2849846,3.376070964756651e-12,3.56156936941361e-11,6,p30_R3_mut
Prex2,6.7510977,2.0046914,1.4673097130431387e-11,1.4673097130431387e-10,6,p30_R3_mut
Idh2,6.56379,1.2605413,5.245713537612182e-11,4.93714215304676e-10,6,p30_R3_mut
Rgma,6.5390363,1.600068,6.191657671837071e-11,5.723140664245952e-10,6,p30_R3_mut
Shank3,6.3651915,0.95058787,1.9504600436746877e-10,1.7337422610441668e-09,6,p30_R3_mut
Pax6,6.0689797,2.0042844,1.2872522369647163e-09,1.0562069636633569e-08,6,p30_R3_mut
Adcy1,6.0205693,0.8127157,1.7380487942752228e-09,1.3789478037224908e-08,6,p30_R3_mut
Dlg4,6.014071,1.8931363,1.8092119794095057e-09,1.4006802421234882e-08,6,p30_R3_mut
Camk2g,5.758777,1.1552927,8.472555348160369e-09,6.115528672356356e-08,6,p30_R3_mut
Fbxo31,5.5071993,1.174232,3.645879432964651e-08,2.430586288643101e-07,6,p30_R3_mut
Agt,5.503077,1.8458145,3.732196972095631e-08,2.470971788421935e-07,6,p30_R3_mut
Dio2,5.306773,2.5752091,1.11582786744018e-07,6.91093388866176e-07,6,p30_R3_mut
Gpr17,25.554682,7.9660764,4.8706325301227053e-144,4.675807228917797e-141,8,p30_R3_mut
Sox10,24.75356,5.502391,2.8384964143946694e-135,1.3624782789094413e-132,8,p30_R3_mut
Olig2,24.550215,5.279309,4.3022118359303015e-133,1.3767077874976963e-130,8,p30_R3_mut
Olig1,22.146713,4.119048,1.1221273339764135e-108,2.6931056015433926e-106,8,p30_R3_mut
Vcan,19.164366,5.870739,7.344532520863361e-82,1.4101502440057653e-79,8,p30_R3_mut
Cspg4,16.586367,5.283956,8.745414946904103e-62,1.3992663915046564e-59,8,p30_R3_mut
Nlgn2,15.956178,1.8533059,2.5805861685687546e-57,3.539089602608578e-55,8,p30_R3_mut
Itpr2,15.3206835,4.105656,5.562932327062233e-53,6.67551879247468e-51,8,p30_R3_mut
Mpzl1,14.554205,3.7607687,5.492094494937069e-48,5.858234127932874e-46,8,p30_R3_mut
Mbp,14.433468,1.6253452,3.1864837269203317e-47,3.0590243778435184e-45,8,p30_R3_mut
Pdgfra,13.92321,4.9404693,4.578685913341328e-44,3.9959440698251594e-42,8,p30_R3_mut
Sox4,13.899697,3.2868683,6.360974498280511e-44,5.0887795986244086e-42,8,p30_R3_mut
Plp1,12.812936,1.8622329,1.3878344261558778e-37,1.0248623454689559e-35,8,p30_R3_mut
Ptprj,12.298386,2.1679192,9.240197908146328e-35,6.336135708443196e-33,8,p30_R3_mut
Tcf7l2,11.813436,3.0517724,3.326831024841146e-32,2.1291718558983335e-30,8,p30_R3_mut
Nlgn3,11.052887,1.8568151,2.1227644719989272e-28,1.2736586831993564e-26,8,p30_R3_mut
Cntn1,10.973844,1.6956446,5.105489055137128e-28,2.883099701724496e-26,8,p30_R3_mut
Erbb4,10.77141,2.448842,4.697493681244524e-27,2.505329963330413e-25,8,p30_R3_mut
Cdh20,10.740199,3.3334165,6.590233140385554e-27,3.329802007773754e-25,8,p30_R3_mut
Kank1,10.712863,3.4407732,8.857963531135344e-27,4.251822494944966e-25,8,p30_R3_mut
Ncam1,10.689168,1.8215582,1.14392745648923e-26,5.229382658236481e-25,8,p30_R3_mut
Sox2,10.416821,1.7942375,2.0778345035568525e-25,8.672700536585122e-24,8,p30_R3_mut
Nfasc,10.385895,2.2149124,2.8746014604593177e-25,1.1498405841837271e-23,8,p30_R3_mut
S100b,9.973147,1.8465816,1.9979462846733475e-23,7.672113733145654e-22,8,p30_R3_mut
C1ql1,9.7383585,5.1629357,2.0686918765285425e-22,7.638246928720773e-21,8,p30_R3_mut
Sdc3,9.730321,1.9427006,2.238845419668353e-22,7.960339269931921e-21,8,p30_R3_mut
Itga9,9.7223625,3.461471,2.4209830787911685e-22,8.300513412998292e-21,8,p30_R3_mut
Chd7,9.48864,1.9541998,2.340691380616889e-21,7.490212417974045e-20,8,p30_R3_mut
Srgap1,9.4008045,2.2243717,5.414727047978637e-21,1.6768186987288682e-19,8,p30_R3_mut
Slc1a1,9.336821,2.5057626,9.926983407378003e-21,2.978095022213401e-19,8,p30_R3_mut
Ntn1,9.292267,3.3909833,1.5103719250220242e-20,4.2645795530033623e-19,8,p30_R3_mut
Fxyd6,9.25229,1.7678797,2.197343295959082e-20,5.859582122557553e-19,8,p30_R3_mut
Nxph1,8.798551,4.003341,1.3859406395439428e-18,3.501323720953119e-17,8,p30_R3_mut
Ptprs,8.6851225,0.92433083,3.783334700053966e-18,9.312823877055916e-17,8,p30_R3_mut
Sema5b,8.440502,3.253367,3.1597804905690926e-17,7.583473177365822e-16,8,p30_R3_mut
Cd9,8.238198,3.381897,1.7482275863729803e-16,3.995948768852527e-15,8,p30_R3_mut
Pou3f3,8.051866,0.94383967,8.154157486995642e-16,1.6655300398969822e-14,8,p30_R3_mut
Mag,8.0167265,1.3348744,1.0860073917455336e-15,2.172014783491067e-14,8,p30_R3_mut
Lrrc4b,7.867613,1.2385728,3.614720902557381e-15,6.940264132910171e-14,8,p30_R3_mut
Dpysl2,7.685103,0.96616626,1.5287392261518888e-14,2.822287802126564e-13,8,p30_R3_mut
Bmp4,7.3230224,4.2796507,2.4244728270804445e-13,4.156239132137905e-12,8,p30_R3_mut
Kcnip3,7.284684,1.8486844,3.224247565804893e-13,5.430311689776662e-12,8,p30_R3_mut
Neo1,7.1276116,1.3928092,1.0212533828312745e-12,1.661700419522074e-11,8,p30_R3_mut
Grik3,7.017253,1.9506037,2.262730900196988e-12,3.503583329337271e-11,8,p30_R3_mut
Syne2,6.9394836,1.32586,3.935351579062264e-12,5.961998678036333e-11,8,p30_R3_mut
Plxnb3,6.8933945,4.408337,5.447644933243443e-12,8.045752516790317e-11,8,p30_R3_mut
Gria2,6.66001,0.8627949,2.7380907829661075e-11,3.9232345546977064e-10,8,p30_R3_mut
Jam2,6.6567326,1.7085644,2.799816750673736e-11,3.952682471539392e-10,8,p30_R3_mut
Jam3,6.5559974,1.8800662,5.527124376022486e-11,7.689912175335633e-10,8,p30_R3_mut
Ptprz1,6.361965,1.9688667,1.991886668851585e-10,2.6558488918021134e-09,8,p30_R3_mut
Mbp,10.561347,1.9475965,4.5015634853268227e-26,1.0803752364784374e-23,9,p30_R3_mut
Plp1,6.414537,1.8711638,1.412514540635079e-10,1.8575533685064054e-09,9,p30_R3_mut
Cldn11,3.3633037,1.7636384,0.0007701559067273223,0.003285998535369908,9,p30_R3_mut
Lpar1,2.2122643,2.2296686,0.026948410739403163,0.07520486717972975,9,p30_R3_mut
Mag,1.7409496,0.7211077,0.08169240493241638,0.18989033592038673,9,p30_R3_mut
Gsn,1.0866151,0.5809747,0.27720693936113316,0.4843195317555764,9,p30_R3_mut
Gfap,0.32563335,0.35081297,0.7447017756187722,0.8556450801737479,9,p30_R3_mut
Cstb,0.0335846,0.40442795,0.9732084047241663,0.9813866266126046,9,p30_R3_mut
Gng8,0.0007265899,0.2461402,0.9994202652271947,0.9994202652271947,9,p30_R3_mut
Itgav,-0.0018568407,0.8017721,0.9985184563016081,0.9994202652271947,9,p30_R3_mut
Vip,-0.0036329492,1.0613539,0.9971013322571817,0.9991829634309962,9,p30_R3_mut
Six3,-0.0047632,1.6832128,0.9961995305258827,0.9991829634309962,9,p30_R3_mut
Tuba1a,-0.014854725,0.3072593,0.9881480794834164,0.9922825902762341,9,p30_R3_mut
Insm1,-0.024179295,1.5248501,0.9807095930332441,0.9858441982323711,9,p30_R3_mut
Itgb7,-0.027126022,1.2233734,0.9783592205668304,0.9845124232119048,9,p30_R3_mut
Cplx3,-0.027287485,0.59441984,0.9782304382777468,0.9845124232119048,9,p30_R3_mut
Stx19,-0.03657169,1.6600631,0.9708265172122351,0.9800141498672406,9,p30_R3_mut
Atp6v1b1,-0.04678431,0.1004021,0.9626851316301938,0.9728186593315642,9,p30_R3_mut
Foxd3,-0.058046456,-0.83873886,0.9537116244732214,0.9647662376125317,9,p30_R3_mut
Syt9,-0.0668059,1.0041182,0.9467362262643503,0.9587202291284559,9,p30_R3_mut
Kcnk4,-0.06987372,0.27912775,0.9442941672377576,0.957257022754221,9,p30_R3_mut
Tnf,-0.07435436,2.4330301,0.9407284225758323,0.9546504076879482,9,p30_R3_mut
Rbp1,-0.104790404,-25.567076,0.9165421255007392,0.9310904132071002,9,p30_R3_mut
Gnb5,-0.1120563,1.5924911,0.9107787655629068,0.9262156937927867,9,p30_R3_mut
Gngt1,-0.114316806,-26.117725,0.908986662824626,0.9253734849540202,9,p30_R3_mut
Pnoc,-0.11685987,0.96894336,0.9069711011753687,0.9243017591596114,9,p30_R3_mut
Slc6a2,-0.11908,-26.066856,0.9052119730699114,0.9234893667875823,9,p30_R3_mut
Camk4,-0.12222856,-0.18941738,0.9027180089673302,0.9219247751155714,9,p30_R3_mut
